Flag_Type,Flag,archive,aria,blackhole,connect,csv,example,innodb,mcs,merge,myisam,myrocks,oograph,sequence,sphinx,spider
table,HA_REQUIRES_KEY_COLUMNS_FOR_DELETE,-,-,-,-,-,-,yes,-,-,yes,-,-,-,-,-
table,HA_REUSES_FILE_NAMES,-,-,-,yes,-,-,-,-,-,-,yes,-,-,-,-
table,HA_SLOW_CMP_REF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes
table,HA_SLOW_RND_POS,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-
table,HA_STATS_RECORDS_IS_EXACT,yes,yes,-,yes,-,-,-,-,-,yes,-,-,-,-,yes
table,HA_TABLE_SCAN_ON_INDEX,-,-,-,-,-,-,yes,yes,-,-,yes,-,-,-,-
index,HA_CLUSTERED_INDEX,-,-,-,-,-,-,yes,-,-,-,yes,-,-,-,-
index,HA_DO_INDEX_COND_PUSHDOWN,-,yes,-,-,-,-,yes,-,-,yes,yes,-,-,-,-
index,HA_DO_RANGE_FILTER_PUSHDOWN,-,-,-,-,-,-,yes,-,-,yes,-,-,-,-,-
index,HA_KEYREAD_ONLY,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
index,HA_KEY_SCAN_NOT_ROR,-,yes,-,yes,-,-,yes,-,-,yes,-,yes,-,-,yes
index,HA_ONLY_WHOLE_INDEX,yes,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes
index,HA_READ_AFTER_KEY,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
index,HA_READ_NEXT,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
index,HA_READ_ORDER,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
index,HA_READ_PREV,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
index,HA_READ_RANGE,-,yes,yes,yes,-,-,yes,-,yes,yes,yes,-,yes,-,yes
